Titulo,Link,Precio,Estado,Puntuacion,Ubicacion,Marca,Modelo,Capacidad,Condicion,disponibilidad,oferta,Comentarios,modelo_linea,ram,almacenamiento,sistema_operativo
Estuche Funda Tipo Sobre Cuero Pu Macbook Air 13.3 2020 Wiwu,https://articulo.mercadolibre.com.pe/MPE-447607448-estuche-funda-tipo-sobre-cuero-pu-macbook-air-133-2020-wiwu-_JM,110.0,Nuevo,,"Lince, Lima Metropolitana",,,,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,30 días de garantía de fábrica.","entre el miércoles y el jueves,#447607448",,"{'0': 'Tiene negro en stock?', '1': 'Exelente tienes en color negro y hasta que hora esta la tienda abierta', '2': 'Hola tienen tienda física? Quiero una en negro', '3': 'Hola, tendras en color rosado?'}",,,,
Estuche Funda Tipo Sobre Cuero Pu Macbook Air 13.3 2020 Wiwu,https://articulo.mercadolibre.com.pe/MPE-447607448-estuche-funda-tipo-sobre-cuero-pu-macbook-air-133-2020-wiwu-_JM,110.0,Nuevo,,"Lince, Lima Metropolitana",,,,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,30 días de garantía de fábrica.","entre el miércoles y el jueves,#447607448",,"{'0': 'Tiene negro en stock?', '1': 'Exelente tienes en color negro y hasta que hora esta la tienda abierta', '2': 'Hola tienen tienda física? Quiero una en negro', '3': 'Hola, tendras en color rosado?'}",,,,
Estuche Funda Tipo Sobre Cuero Pu Macbook Air 13.3 2020 Wiwu,https://articulo.mercadolibre.com.pe/MPE-447607448-estuche-funda-tipo-sobre-cuero-pu-macbook-air-133-2020-wiwu-_JM,110.0,Nuevo,,"Lince, Lima Metropolitana",,,,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,30 días de garantía de fábrica.","entre el miércoles y el jueves,#447607448",,"{'0': 'Tiene negro en stock?', '1': 'Exelente tienes en color negro y hasta que hora esta la tienda abierta', '2': 'Hola tienen tienda física? Quiero una en negro', '3': 'Hola, tendras en color rosado?'}",,,,
"Unidad De Estado Solido Ssd Hp S700 500gb Sata 6.0 Gb/s, 2.5",https://articulo.mercadolibre.com.pe/MPE-445119412-unidad-de-estado-solido-ssd-hp-s700-500gb-sata-60-gbs-25-_JM,310.0,Nuevo,4.9,"Callao, Lima Metropolitana",HP,2DP99AA,SSD,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","500 GB,2.5 "",PC,LAPTOP,SSD,SATA III,#445119412",,"{'0': 'prod. facturado???', '1': 'Compatible para uso de software Windows 10', '2': 'Vivo cercado Lima entrega a domicilio???', '3': 'Es para uso interno???', '4': 'haré el deposito', '5': 'es que esas no llegan ..están a hora y media de viaje.desde palpa', '6': 'EL producto es para la provincia de Palpa es al sur pasando ica.. por América del Sur.. o.. luren express. será posible', '7': 'TENDRA STOCK ..DE ESTE..Y TAMBIEN QUISIERA UNO DE 250 GIGABTS. ESPERO RESPUESTA', '8': 'Buenas se puede conectar esternamente para su uso.', '9': 'Hola, lo necesito con urgencia. Es posible recogerlo ?'}",S700,500 GB,SATA III,Sí
Soporte Elevador Para Laptop 11 A 17 PuLG - Altura Regulable,https://articulo.mercadolibre.com.pe/MPE-606869962-soporte-elevador-para-laptop-11-a-17-pulg-altura-regulable-_JM,205.0,Nuevo,,"San Juan De Miraflores, Lima Metropolitana",,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.",#606869962,,{'0': 'El color es plateado o gris?'},,,,
"Bateria Laptop Dell M5y1k D3451, 3551, 5558, 5758, Nueva",https://articulo.mercadolibre.com.pe/MPE-440015460-bateria-laptop-dell-m5y1k-d3451-3551-5558-5758-nueva-_JM,179.0,Nuevo,,"Santiago De Surco, Lima Metropolitana",,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.",#440015460,,"{'0': 'Tiene la batería para delt E5470', '1': 'Hola tienes batería para Dell E5470', '2': 'Buenos días, tienes batería para portátil Dell pp41L?', '3': 'Buenas tardes ¿Tienen en stock uno compatible con el modelo DELL INSPIRON 3442?', '4': 'buenas noches, es compatible con DELL LATITUDE 3460 3560 ????', '5': 'Buenas tardes, compatible con la Dell Inspiron 14-3467 gracias', '6': 'Hola doc es compatible con Dell Vostro 3458 ?', '7': 'pero la.quiero con envio a talara', '8': 'entonces solo le doy comprar y luego coordinamos para q me.enviea la q quiero?', '9': 'tienea para kr-0g019y-71276-35F-A1PG-A00'}",,,,
Estuche Maletin Organizador Tablet iPad Pro 12.9 / 13.3 Wiwu,https://articulo.mercadolibre.com.pe/MPE-610464282-estuche-maletin-organizador-tablet-ipad-pro-129-133-wiwu-_JM,130.0,Nuevo,,"Lince, Lima Metropolitana",,,,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,30 días de garantía de fábrica.","entre el miércoles y el jueves,Nadie ha hecho preguntas todavía. ,#610464282",,{},,,,
Teclado Dell 14-3000 3441 3442 3452 3462 100% Nuevo,https://articulo.mercadolibre.com.pe/MPE-446974444-teclado-dell-14-3000-3441-3442-3452-3462-100-nuevo-_JM,65.0,Nuevo,,"Lima, Lima Metropolitana",,,,"Llega ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,#446974444",,"{'0': 'Buen día, tendrá teclado para Dell inspiron N4010?', '1': 'Buenas tardes tendras el teclado para Dell P57G001 ( Inspririon 7347)', '2': 'Ok. Gracias ahora le doy a comprar. Otra pregunta cuánto es el tiempo de entrega vivo en ate', '3': 'Con q currier trabaja?', '4': 'Cuánto el envío a Chiclayo?', '5': 'El teclado es retro iluminado..???', '6': 'Es compatible con la 3476?', '7': 'para el dell 14 3307?', '8': 'tiene para dell 14 3467 i5 7200 ?', '9': 'Tienen soporte técnico , colocan el teclado también en alguna tienda en Lima?'}",,,,
"Cámara Web Webcam 2k 2mp Fullhd 1920p 1080p Pc Laptop, Zoom",https://articulo.mercadolibre.com.pe/MPE-440997200-camara-web-webcam-2k-2mp-fullhd-1920p-1080p-pc-laptop-zoom-_JM,106.4,Nuevo,4.3,"San Juan De Lurigancho, Lima Metropolitana",,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,6 meses de garantía de fábrica.",#440997200,"5,% OFF","{'0': 'hola aun se puede?', '1': 'Me podrían confirmar en que distrito se realiza el recojo en tienda.', '2': 'Buenos días, compra y entrega puede ser hoy, espero su confirmación.', '3': 'Buenas noxes tiene el producto para hacer la compra envío a provincia', '4': '107 soles incluye el delivery cierto??', '5': 'Si pagó hoy cuando lo recibo', '6': 'Cómo sería la entrega a San Juan de Miraflores', '7': 'factura', '8': 'Tienen tienda física, donde se encuentran', '9': 'Buenas Tardes. Incluye también micrófono?. Soy de Trujillo - Perú en cuanto tiempo más a o menos lo estaría recibiendo.?'}",,,,
Teclado Logitech Mx Keys Advanced Wireless - Graphite,https://articulo.mercadolibre.com.pe/MPE-441863957-teclado-logitech-mx-keys-advanced-wireless-graphite-_JM,379.9,Nuevo,,¡Es uno de los mejores del sitio!,,,,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","mañana,#441863957","11,% OFF","{'0': 'Hola ¿Tienen stock? ¿Es la distribución ISO Española?', '1': 'Mis estimado, Si bien no lo compré con ustedes. Estoy interesado en adquirir el teclado pequeño y el louse MXkeys. Yo tengo un MXkeys grande y este es el que quiero que me ayuden a reparar. Si desean, primero hago la compra del teclado (pequeño) y mouse MXkeys, pero necesito que me aseguren que lo podran reparar. Los voy a contactar a través del whatsapp, justo vi su página en internet.', '2': 'Saludos. Me interesa darle mantenimiento a mi teclado. Se le han salido dos teclas, hay forma de que usted me pueda ayudar.', '3': 'Tiene el teclado en inglés?', '4': 'Tienen stock y delivery a Surco', '5': 'Por favor confírmenme si trae la Ñ, en sus fotos no trae!!!!', '6': 'Buenos días, cuenta con stock? Gracias', '7': 'Es teclado en inglés o español?? En caso de ser español tienen en inglés?', '8': 'El teclado es en español o en latinoamericano? (Ambos tienen la tecla Ñ) Ejm: el @ esta en la tecla 2 (español) o en la tecla Q (latinoamericano)?', '9': 'Buenas noches, Con la Ñ?'}",,,,
"Mochila Gamer Notebook Lenovo Legion Recon 15,6'' Gx40s69333",https://articulo.mercadolibre.com.pe/MPE-445808056-mochila-gamer-notebook-lenovo-legion-recon-156-gx40s69333-_JM,221.0,Nuevo,,"Lima, Lima Metropolitana",,,,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,#445808056","15,% OFF","{'0': 'Entrara una laptop de 17 pulgadas??', '1': 'Jay disponibilidad del producto ?', '2': 'Si pongo recojo en tienda , donde queda , me.podrian confirmar.', '3': 'Quiero envio a trujillo', '4': 'hola, quiero saber si cuenta con el producto y si es original', '5': 'Hola deseo saber si puedo pagar con tarjeta de crédito al momento de recibir el producto'}",,,,
Cooler Para Laptop Nuoxi Q8 Rgb Gaming 6ven 8n Luz Led Azul,https://articulo.mercadolibre.com.pe/MPE-604126606-cooler-para-laptop-nuoxi-q8-rgb-gaming-6ven-8n-luz-led-azul-_JM,225.0,Nuevo,,"Lima, Lima Metropolitana",,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.",#604126606,,"{'0': 'Perfecto, compro enseguida', '1': 'Ilo-Moquegua', '2': 'Estimado buenas tardes, para Ilo cuánto sería el envío'}",,,,
Adaptador Hub Tipo C 3 Puertos Rj45 Ethernet Usb3.0 1000mbps,https://articulo.mercadolibre.com.pe/MPE-600122979-adaptador-hub-tipo-c-3-puertos-rj45-ethernet-usb30-1000mbps-_JM,75.9,Nuevo,,"Callao, Lima Metropolitana",,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","¡Última disponible!,#600122979","5,% OFF","{'0': 'buenas tardes, si lo requiero cuanto antes como puedo hacer para recogerlo yo mismo', '1': 'hola pregunta llega para lima villa maria del triunfo?', '2': 'No es posible para mañana ? Por Aramburu', '3': 'Facturado y entregado mañana en Aramburu?', '4': 'lleva hoy a Breña, lo necesito urgente para trabajo remoto', '5': 'funciona con laptop con Windows 11', '6': 'hola, hacen envíos express con rappi o glovo para el mismo día?', '7': 'mercadoenvíos no, demora demasiado, se puede coordinar para otro courrier?', '8': 'buenas tardes, tiene stock disponible? haces envíos a provincia? gracias', '9': 'Buenas noches. Hay stock? Si lo pido para Las Flores, en San Juan de Lurigancho, cuanto tardaría y cuanto seria el costo?'}",,,,
Memoria Ram 8gb Ddr4 Vaseky Laptop Sodimm 2133mhz Laptop Aio,https://articulo.mercadolibre.com.pe/MPE-606518281-memoria-ram-8gb-ddr4-vaseky-laptop-sodimm-2133mhz-laptop-aio-_JM,219.0,Nuevo,,"Lima, Lima Metropolitana",VASEKY,GAMING,SODIMM,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,24 meses de garantía de fábrica.","entre el miércoles y el jueves,8 GB,Sí,SODIMM,DDR4,2133 MHz,Notebooks,#606518281",,"{'0': 'HOla le hace a una Lenovo 330s 14ikb ???', '1': 'solo indica uno disponible, yo necesito 2', '2': 'tienes stock de 8gb 2133 sodimm / 02 unidades, envio a Tarapoto', '3': 'Hola tienes Memoria Ram 8GB SODIMM DDR4-SDRAM 2133 MHz'}",VASEKY,DDR4,2133mhz,
Rack Soporte Monitor Y Laptop 13-32 Articualdo Klip Kmm-301,https://articulo.mercadolibre.com.pe/MPE-611823868-rack-soporte-monitor-y-laptop-13-32-articualdo-klip-kmm-301-_JM,249.0,Nuevo,,¡Es uno de los mejores del sitio!,Klip Xtreme,,"13 "" - 32 ""","Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,20 años de garantía de fábrica.","mañana,Mesa,32 "",Sí,13 "",100x100,75x75,#611823868",,"{'0': 'Puede usarse en una mesa de vidrio templado ?', '1': 'Buenas noches tiene disponible para enviar a Huancayo?', '2': 'Hola buen día, esta disponible en su tienda de compupalace para acercarme el día de mañana', '3': 'Hace envios a surquillo, como para mañana?', '4': 'Hola, en la imagen del aviso, se ve que la barra de soporte del monitor puede elevarse mas para poder trabajar parado, tiene un rack con soporte de este tipo?.'}",KMM-301,Monitor,,
Audifonos Gamer Phoinikas H1 / Pc Laptop Ps4 Smartphone,https://articulo.mercadolibre.com.pe/MPE-442106455-audifonos-gamer-phoinikas-h1-pc-laptop-ps4-smartphone-_JM,74.9,Nuevo,,"San Juan De Lurigancho, Lima Metropolitana",Phoinikas,,,"Llega ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,Sí,#442106455",,"{'0': 'buenas tardes, tendrá stock?', '1': 'Deseo uno', '2': 'Ya pagué, esta en revisión :)', '3': 'Buenas tardes, si compro 2 audifonos, solo me cobras un delivery es para San Borja. Cual es el costo delivery,gracias', '4': 'Buenas noches ,cuanto está el envío a San Borja ?', '5': 'Buenas tardes, ¿Sigue disponible? en el caso que si ¿Se puede ir a recogerlo?', '6': 'Buenas noches, aún está disponible? El costo del delivery se paga por medio de mercado Pago o es aparte?', '7': 'Ok, le daré comprar', '8': 'Hola buenas, tienes stock?. Cuánto sería el envío a San Isidro?, Se puede contraentrega?', '9': 'Buenas tardes con envió a la ciudad de Huancayo'}",H1,Sí,No,2 m
Adaptador Hub Tipo C 3 Puertos Rj45 Ethernet Usb3.0 1000mbps,https://articulo.mercadolibre.com.pe/MPE-600122979-adaptador-hub-tipo-c-3-puertos-rj45-ethernet-usb30-1000mbps-_JM,75.9,Nuevo,,"Callao, Lima Metropolitana",,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.",#600122979,"5,% OFF","{'0': 'buenas tardes, si lo requiero cuanto antes como puedo hacer para recogerlo yo mismo', '1': 'hola pregunta llega para lima villa maria del triunfo?', '2': 'No es posible para mañana ? Por Aramburu', '3': 'Facturado y entregado mañana en Aramburu?', '4': 'lleva hoy a Breña, lo necesito urgente para trabajo remoto', '5': 'funciona con laptop con Windows 11', '6': 'hola, hacen envíos express con rappi o glovo para el mismo día?', '7': 'mercadoenvíos no, demora demasiado, se puede coordinar para otro courrier?', '8': 'buenas tardes, tiene stock disponible? haces envíos a provincia? gracias', '9': 'Buenas noches. Hay stock? Si lo pido para Las Flores, en San Juan de Lurigancho, cuanto tardaría y cuanto seria el costo?'}",,,,
Adaptador Hub 7n1 Usb C Hdmi 4k @ Macbook Pro 13 15 Air 2019,https://articulo.mercadolibre.com.pe/MPE-435990162-adaptador-hub-7n1-usb-c-hdmi-4k-macbook-pro-13-15-air-2019-_JM,159.0,Nuevo,,"La Molina, Lima Metropolitana",,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.",#435990162,,"{'0': 'Buenas, aun cuenta con stock? como podría hacer para que me llegue hoy mismo?', '1': 'Buenas tardes, tiene disponible en stock para envío a la ciudad de Paita? Es compatible con la MacBook Air M1 de 2020? Gracias', '2': 'Lo envías a iquitos por Olva Courier Po favor espero tu mensaje', '3': 'Disculpe, primero dijo 2:30 y ahora 1:30. Aún estamos a tiempo para que lo envíen? Si es así, me confirma y procedo a realizar la compra.', '4': 'No es posible enviarlo directo a domicilio? Lo deseo por Olva.', '5': 'Hola! Lo tienen en stock? Cuánto saldría con el envío a domicilio en Ica y cuándo lo enviarían?', '6': 'Hola necesito un adaptador de un HDMI macho a 2 HDMI hembras con CRA Canal de Retorno de Audio y que soporte 4K ( para conectar un TV a dos equipos de sonido )', '7': 'Es compatible con macbook pro de 2020?', '8': 'Buenas tardes tiene stock para envío a provincia?', '9': 'Perfecto, deseo adquirir una unidad para la ciudad de Arequipa a domicilio, cual es el proceso de pago?'}",,,,
Teclado Lenovo G50 Z50-70 G50-70 G50-45 B50 B50-70  Plateado,https://articulo.mercadolibre.com.pe/MPE-601057766-teclado-lenovo-g50-z50-70-g50-70-g50-45-b50-b50-70-plateado-_JM,105.0,Nuevo,,"Comas, Lima Metropolitana",,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.",#601057766,,"{'0': 'Hola! Una consulta por favor, será compatible con Lenovo Ideapad 500-15ISK Laptop (tipo 80NT007DLM), los datos del teclado son: Lenovo: 5N20H03441, Sunrex: V-149420CK1-LA, Compal: PK131BJ2A15. Muchas gracias!', '1': 'Buenos días. tendrá teclado para la laptop Lenovo IdeaPad 510-15IKB', '2': 'Buenas noches, tienes stock para Lenovo z50 - 70 y cuánto es por la instalación?', '3': 'Buenos noches si lo compro hoy me podrían hacer delivery para mañana en Cercado de Lima?', '4': 'Esta disponible ? Costo envío a pucallpa ?', '5': 'hola buenas tardes todavia tiene stock y si es asi cual es el costo para huaral ?', '6': 'Tienes stock? Haces envios a chiclayo?', '7': 'Jesús María', '8': 'La instalación puede ser a domicilio?', '9': 'El teclado es original?'}",,,,
Disco Duro Externo Portátil Seagate Expansion Ps4 Xbox 1tb,https://articulo.mercadolibre.com.pe/MPE-445807512-disco-duro-externo-portatil-seagate-expansion-ps4-xbox-1tb-_JM,269.0,Nuevo,,¡Es uno de los mejores del sitio!,Seagete,STEA1000400,HDD,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","entre el miércoles y el jueves,1 TB,USB 3.0,USB 2.0,HDD,Notebook,PC,#445807512",,"{'0': 'Tiens en stock soy de trujillo por q empresa haces envio y cuantos dias demora', '1': 'Muchas gracias por la información, estaré en contacto por este medio', '2': 'Buenas noches, este producto es compatible con play station 4 ???', '3': 'De este modelo de memoria externa que es compatible con la Xbox serie S. Tendrás de 2teras de capacidad?', '4': 'Si eso está claro, pero también para la Xbox serie S?', '5': 'Consulta, es compatible con una consola Xbox serie s?', '6': 'hola buenas tienes disponible 18/03/22', '7': 'Disculpe hay otro modelo “básic” lo tendrá disponible? Ese también será compatible con ps4?', '8': 'Cuanto es el costo del envío a provincia Ilo?', '9': 'En las características no detalla la compatibilidad con PS4 sin embargo en el título si. Podría confírmame si lo puede usar para descarga de juegos PS4?? De ser el caso cuanto es el envío a Provincia Ilo.'}",Expansion,1 TB,"USB 3.0,USB 2.0",
 Protector Teclado Wiwu Mackbook Pro 14 / 16 2021 Tec Ingles,https://articulo.mercadolibre.com.pe/MPE-606460358-protector-teclado-wiwu-mackbook-pro-14-16-2021-tec-ingles-_JM,69.0,Nuevo,,"La Victoria, Lima Metropolitana",,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,3 meses de garantía de fábrica.",#606460358,,"{'0': 'Hola! Es tal cual el de la imagen ? Que la tecla shift, caps y tab van de grande a chiquito ??', '1': 'Buenos días, por favor me confirma la disponiblidad para la macbook pro 2021 de 16 pulgadas teclado en ingles.', '2': 'Entonces la que vende se adapta a la nueva que no tiene touchbar? La mía es así y sin ñ', '3': 'Tienes para MacBook Pro 14 M1 2021? Ya no tiene touchbar y teclado ingles'}",,,,
Mini Ventilador Portable Recargable Usb 3 Velocidades,https://articulo.mercadolibre.com.pe/MPE-429992149-mini-ventilador-portable-recargable-usb-3-velocidades-_JM,18.0,Nuevo,,"Lince, Lima Metropolitana",,,,"Envío a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.",#429992149,,"{'0': 'Que tamaño tiene , cuanto dura', '1': 'Me interesa en color negro , pero al intentar comprar el ventilador el valor asciende a 99 soles enviado a Piura. Es un error de la pagina? Confirmar porvafor', '2': 'Hola envio a bellavista av. Colonial altura se UNMSM cual seria el costo', '3': 'Amigo de cuantos cm es el tamaño del ventilador? Y cuánto me dejarías por comprarte 12 y 6? Cuál sería la diferencia de precio si te compró desde acá o en tu tienda?', '4': 'R', '5': 'Amigo dime la dirección EXACTA de tu tienda para ir a comprar personalmente', '6': 'Hola con envío a San borja cuánto tengo que depositar', '7': 'Recojo en lince?', '8': 'Disponible en negro?', '9': '¿Cuanto me cuesta el emvio a San Martin de Porres?'}",,,,
Memoria Kingston Sodimm Ddr4 8gb Pc4-2400 Kvr24s17s8/8 Cl17,https://articulo.mercadolibre.com.pe/MPE-440317875-memoria-kingston-sodimm-ddr4-8gb-pc4-2400-kvr24s17s88-cl17-_JM,180.5,Nuevo,4.9,"San Isidro, Lima Metropolitana",Kingston,KVR24S17S8/8,SODIMM,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,3 años de garantía de fábrica.","8 GB,2400 MHz,Notebooks,DDR4 SDRAM,SODIMM,#440317875","5,% OFF","{'0': 'Buenos dias, busco una memoria 4GB 1Rx16 PC4-2666V-SCO-11, es para una HP All In One. Espero tu respuesta. Gracias.', '1': 'Este modelo solo soporta PC4-2400 (19200) 260-pin de 2400MHz DDR4 SDRAM', '2': 'Hola Buenas tardes. Tienes en stock 2 memorias de 8GB. Para la iMac (Retina 5K, 27-inch, 2017).', '3': 'buenas es compatible con HP 15-DB1044LA?', '4': 'Buenas tardes, es compatible con HP 15-ax201la? Gracias!', '5': 'Buenas, la memoria es compatible con una HP All-in-One - 22-dd0018la?', '6': 'Buenas este memoria es compatible con la laptop asus laptop 14 m409da', '7': 'Como se haría para la entrega y el pago.???, se envía después de realizar el pago o al día siguiente ???', '8': 'Buenas tardes , cuentas con el producto Memoria 8GB 2400MHz DDR4 Kingston y como se haría para la entrega, el producto es nuevo y sellado', '9': 'Buenas tardes, cuenta con stock?'}",DDR4,DDR4 SDRAM,260,
"Batería Hp Probook Pr06 ,4430s,4530s,4535s,4440s 100% Nuevo",https://articulo.mercadolibre.com.pe/MPE-605933187-bateria-hp-probook-pr06-4430s4530s4535s4440s-100-nuevo-_JM,100.0,Nuevo,,"Lima, Lima Metropolitana",,,,"Entrega a acordar con el vendedor,, recibe el producto que esperabas o te devolvemos tu dinero.","¡Última disponible!,#605933187",,"{'0': 'Entonces le doy comprar, y el costo de envio?', '1': 'Realizan envíos a Huamanga?', '2': 'para concretar la compra y el delivery', '3': 'Hola tienes para HP ProBook 4430k', '4': 'tienes para HP ProBook 4430k', '5': 'Amigo haces envios para tumbes', '6': 'buenos dias, tiene para probook 4420s?', '7': '100 soles? Con envío?', '8': 'Y el envío?', '9': '4440s en stock? Envío a Trujillo'}",,,,
Batería De Reemplazo Para Ups Apc Modelo Apcrbc124 #124 Orig,https://articulo.mercadolibre.com.pe/MPE-440640959-bateria-de-reemplazo-para-ups-apc-modelo-apcrbc124-124-orig-_JM,450.0,Nuevo,,"Lima, Lima Metropolitana",,,,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,¡Última disponible!,#440640959",,"{'0': 'UPS 1500VA APC BACK BR1500GI LCD ¿es compatible?', '1': 'Puedes por MF COURIER??? a iquitos. Para recogerlo en su agencia?', '2': 'Es compatible con BACK UPS PRO 1500 ???', '3': 'tendras bateria para ups apc, codigo de bateria APCRBC152', '4': 'Tienes en stock? Haces envío a iquitos?', '5': 'APCRBC123', '6': 'Buen dia Tiene la bateria de 7Ah 12v para un Ups Apc 900 ?', '7': 'tienes 72 unds en stock, y precio por esa cantidad'}",,,,
Cargador Acer - 19v 2.37a 45w- (5.5*1.7) Oferta !  ,https://articulo.mercadolibre.com.pe/MPE-606993010-cargador-acer-19v-237a-45w-5517-oferta--_JM,69.3,Nuevo,,"Ate, Lima Metropolitana",,,,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,6 meses de garantía de fábrica.","mañana,#606993010","30,% OFF","{'0': 'Es compatible con Aspire 5720z?', '1': 'Ha sido reparado?, En que estado de conservación está?', '2': 'Le hace al modelo swift3 ?'}",,,,
Cargador Laptop Toshiba 19v 2.37,https://articulo.mercadolibre.com.pe/MPE-424431991-cargador-laptop-toshiba-19v-237-_JM,33.0,Nuevo,4.5,"Lima, Lima Metropolitana",,,,"Llega ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,#424431991",,"{'0': 'Tiene cargador Toshiba 19V 2.37A? Hasta que hora atiende hoy día para recogerlo ahora mismo?', '1': 'Estoy interesada . Cuánto el envío a Pueblo libre V', '2': 'Aparece el pago y recojo en domicilio', '3': 'Envío a provincia. Piura - Talara', '4': 'Cuánto con envío hasta chorrillos?', '5': 'Buenas tardes, este cargador es compatible para una toshiba C645-SP4252L?', '6': 'Hola.. Sirve para satellite C50?... Y habría forma de tenerlo antes del martes 18?', '7': 'aún tienes en stock? y donde queda la tienda para ir a comprar?', '8': 'Por dónde me comunico con ud para realizar el pedido?', '9': 'servirá para Laptop Toshiba Satellite S845-SP4336TL'}",,,,
Presentador Inalambrico Usb De Diapositivas Con Laser Ppt,https://articulo.mercadolibre.com.pe/MPE-420016293-presentador-inalambrico-usb-de-diapositivas-con-laser-ppt-_JM,30.17,Nuevo,,"San Borja, Lima Metropolitana",,,,"Envío a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,30 días de garantía de fábrica.",#420016293,"5,% OFF","{'0': 'Favor enviar dirección para recoger pedido mañana sabado', '1': 'Tiene color negro que incluye el estuche', '2': 'tiene cuenta del banco de la Nación?', '3': 'Tiene disponibilidad en color negro y si lo compro hoy cuando llegaria estoy en Lima Comas', '4': 'Buen día. Envío a provincia? Se ha probado sobre Windows 10?', '5': 'buenas viene con el estuche?', '6': 'buenas noches, están atendiendo en oficina?, caso contrario puedo pagar contra entrega para hacer el pedido?, gracias por su atención.', '7': 'Una pregunta viene con el estuche???', '8': 'Hola siguendisponible en color plateado?', '9': 'No encuentro la empresa para realizar el pago'}",,,,
Funda Case Protector Silicona Para Lapiz Apple Pencil 2,https://articulo.mercadolibre.com.pe/MPE-602049444-funda-case-protector-silicona-para-lapiz-apple-pencil-2-_JM,25.0,Nuevo,,"Lince, Lima Metropolitana",,,,"Envío a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.",#602049444,,"{'0': 'Hola! Queda disponible en lila?', '1': 'Tienes en blanco con envio a piura ?', '2': 'Hola! Si le pongo este protector entra igual en la ranura del iPad? Y tienes disponible los colores 5/6?', '3': 'Holaaan de que material es el cover?', '4': 'Hola, buenas tardes. Tiene disponible en stock para envió inmediato? en color negro. Hace envíos a provincia por Shalom u Olva?', '5': '¿Cuánto sale el envío a Huaraz?', '6': '¿Qué colores tiene disponible?'}",,,,
Cargador Dell Original 130 Watts 19.5x6.7a (Reacondicionado),https://articulo.mercadolibre.com.pe/MPE-444903865-cargador-dell-original-130-watts-195x67a-_JM,149.0,6,,"Lince, Lima Metropolitana",,,,"Llega gratis ,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,#444903865",,"{'0': 'tiene stock de 5 uds ???', '1': 'tienes sctock de 5 uds.. y si es este modelo;: DA130pe1-00 gracias por su pronta respuesta.', '2': 'q presentacion tiene? es nuevooo?', '3': 'Cual es su dirección en Lince?', '4': 'Cual es la dirección en Lince?', '5': 'busco cargador para una Laptop Dell Gamer G3 130W', '6': 'es original ?', '7': 'que significa REACONDICIONADO y confirmar si es este modelo: Cargador para notebook Dell Precision 3541 Modelo: DA130pe1-00 AC Adapter: 130W 19.5V-6-7A', '8': 'Hola, tienes 2 en stock? Emites factura? Gracias', '9': 'Hola tienes este cargador disponible y de ser así mañana domingo puedo comprarlo temprano'}",,,,
